"","Species","Habitat","Scenario","Mean","SD","Median","Q1","Q3","IQR","Minimum","MinimumOutlier","Maximum","MaximumOutlier"
"21","AMRE","deciduous",0.05,-0.0467849440084308,0.027139133792452,-0.0517821310107755,-0.0679764463590003,-0.025799327140132,0.0421771192188683,-0.131242125187303,-0.0922297800947887,0.0374663516881705,0.0251547630477569
"22","AMRE","deciduous",0.15,-0.10390920868356,0.0554003174035031,-0.103867392718067,-0.154894557389367,-0.0546267041088552,0.100267853280512,-0.305296337310135,-0.195299640472965,0.0957750758119128,-0.00615990485395288
"23","AMRE","deciduous",0.25,-0.18669244081589,0.0641735829505937,-0.179222624269477,-0.249593458802716,-0.130016897989216,0.119576560813501,-0.428958300022967,-0.289386437233672,0.049347943231035,-0.0664469342299152
"24","AMRE","deciduous",0.35,-0.274479344094944,0.0687672357856176,-0.274601466079913,-0.340092633866,-0.214306932311436,0.125785701554564,-0.528771186197847,-0.377179529559902,-0.0256283799795892,-0.137175185924074
"25","AMRE","deciduous",0.45,-0.367042404768972,0.0739793165065496,-0.380700348322285,-0.441032537539356,-0.300245148287124,0.140787389252231,-0.652213621417703,-0.471709389677945,-0.089064064408777,-0.212421336291526
"26","AMRE","deciduous",0.55,-0.457830246992059,0.0884549357825446,-0.475636330466991,-0.522687455034275,-0.366381816031426,0.156305639002849,-0.757145913538549,-0.595073610978838,-0.131923357527152,-0.311362857977517
"27","AMRE","deciduous",0.65,-0.551940877683285,0.123680116657738,-0.600381428449179,-0.635775678528282,-0.448337122854754,0.187438555673527,-0.916933512038573,-0.743723215168827,-0.167179289344463,-0.318127980430707
"28","AMRE","deciduous",0.75,-0.683465159531093,0.195500334668181,-0.756986077794348,-0.844876755519729,-0.465893242993851,0.378983512525878,-1.41335202430855,-0.97642917429105,0.102582025794965,-0.362489169723844
"29","AMRE","deciduous",0.85,-0.870134368374595,0.279463833339269,-0.944640117705134,-1.09333509258314,-0.607139581347155,0.486195511235984,-1.82262835943712,-1.29126513253981,0.122153685506822,-0.391748544404304
"30","AMRE","deciduous",0.95,-1.12096527291527,0.42441618019204,-1.16012915001262,-1.56681785701326,-0.721729944390539,0.84508791262272,-2.83444972594734,-1.67837979035961,0.545901924543541,-0.42711796840534
"31","AMRO","generalist",0.05,0.0891671987873485,0.106525968828539,0.0950456702897323,-0.00832951367183072,0.18372390955946,0.192053423231291,-0.296409648518767,-0.112990271169486,0.471804044406396,0.280636303167065
"32","AMRO","generalist",0.15,0.0652497353444969,0.108592738373141,0.0347498789102728,-0.025885646428669,0.133971789017226,0.159857435445895,-0.265671799597511,-0.0928625901877577,0.373757942186068,0.286535915777323
"33","AMRO","generalist",0.25,0.0392201417706431,0.128104601169109,0.013575336537807,-0.0705235744707068,0.165128215255872,0.235651789726579,-0.424001259060576,-0.169825607004772,0.518605899845741,0.256354704561769
"34","AMRO","generalist",0.35,0.0148370626179367,0.163297034896362,0.004620111899412,-0.124858174950905,0.19261867270962,0.317476847660525,-0.601073446441692,-0.273144422590431,0.668833944200407,0.269485686174266
"35","AMRO","generalist",0.45,-0.0144580900489313,0.182934463366687,-0.0181348151227357,-0.169050298014466,0.144512482264045,0.313562780278511,-0.639394468432231,-0.338787030078869,0.614856652681811,0.292495091070199
"36","AMRO","generalist",0.55,-0.0494620682410922,0.168345131739322,-0.0424917537415841,-0.197858319398403,0.0785529144421485,0.276411233840552,-0.61247517015923,-0.342623994087095,0.493169765202976,0.269922303887551
"37","AMRO","generalist",0.65,-0.0706909861581578,0.160260267716008,-0.0530067940011356,-0.204996995919091,0.0182967493814538,0.223293745300545,-0.539937613869909,-0.337612387480166,0.353237367332271,0.269229998969987
"38","AMRO","generalist",0.75,-0.082831743914608,0.185905902595516,-0.0545814695429177,-0.271575133150047,0.0538049458333253,0.325380078983373,-0.759645251625106,-0.375569042251815,0.541875064308384,0.222392348750349
"39","AMRO","generalist",0.85,-0.0840251139270753,0.205594791142605,-0.0332839081200167,-0.294531034107913,0.094394514347267,0.38892554845518,-0.877919356790683,-0.419412831252467,0.677782837030037,0.211387725660363
"40","AMRO","generalist",0.95,-0.102086382089836,0.228802036682508,-0.0531577371491184,-0.346483878556659,0.144225215673571,0.490709094230231,-1.08254751990201,-0.4819074065697,0.880288857018918,0.204147872965573
"41","ATSP","shrub",0.05,0.106766612985458,0.0359725040150192,0.122934673627086,0.0710441112285668,0.138675547192555,0.0676314359639885,-0.030403042717416,0.0459295590336116,0.240122701138538,0.158877744378586
"42","ATSP","shrub",0.15,0.181815718298624,0.0456504082292382,0.184832671971672,0.152157626539089,0.207237613872435,0.0550799873333465,0.0695376455390691,0.110115530823307,0.289857594872455,0.301877834285905
"43","ATSP","shrub",0.25,0.310465486697163,0.0549505310559524,0.312796901509816,0.295281452880431,0.345943181151372,0.050661728270941,0.219288860474019,0.208802880531122,0.421935773557783,0.432733764390444
"44","ATSP","shrub",0.35,0.51671938069097,0.0689274080264317,0.543330404499563,0.506141779127394,0.556999539709047,0.0508577605816529,0.429855138254915,0.369343742799318,0.633286180581526,0.612344325426894
"45","ATSP","shrub",0.45,0.670892137104741,0.0967957898587541,0.699734004901216,0.623939121751565,0.741901166833484,0.117962045081919,0.446996054128687,0.470581476895778,0.918844234456362,0.789691940910725
"46","ATSP","shrub",0.55,0.682462931353937,0.128009094559583,0.722610967645131,0.608009127553921,0.771422118373813,0.163412990819892,0.362889641324084,0.421277685306746,1.01654160460365,0.856895657292949
"47","ATSP","shrub",0.65,0.715022488550951,0.128623845350684,0.755646505538351,0.661390182425003,0.798216544080132,0.136826361655129,0.456150639942309,0.445288570844047,1.00345608656283,0.898330275867238
"48","ATSP","shrub",0.75,0.887361197615384,0.0453222382407149,0.905048820630138,0.877393735541616,0.913336579112881,0.0359428435712651,0.823479470184719,0.673156783685943,0.967250844469779,0.941890667773241
"49","ATSP","shrub",0.85,0.979830071905761,0.00626274915420318,0.980262015211297,0.976083800560811,0.984191024598719,0.00810722403790809,0.963922964503948,0.963904201010588,0.996351860655581,0.991997384746619
"50","ATSP","shrub",0.95,0.982353839920076,0.00545318737056998,0.982693863414132,0.978734391581427,0.985378331885732,0.00664394030430471,0.96876848112497,0.969708553338563,0.995344242342189,0.993546658545039
"51","ATTW","conifer",0.05,-0.0999807226909109,0.0154825682933198,-0.0999226296176712,-0.109319689190262,-0.0858071216604283,0.0235125675298335,-0.144588540485012,-0.130150985461401,-0.0505382703656781,-0.0776192967264014
"52","ATTW","conifer",0.15,-0.0716102581845759,0.0342378969444811,-0.0806759458427769,-0.0933578350112709,-0.0345087000437186,0.0588491349675523,-0.181631537462599,-0.133684552704643,0.0537650024076098,-0.0139754806872699
"53","ATTW","conifer",0.25,-0.050040654495899,0.0298573477880014,-0.05590882490563,-0.0763177820677672,-0.017320233714318,0.0589975483534492,-0.164814104597941,-0.0930947436158765,0.0711760888158558,-0.00569912882971288
"54","ATTW","conifer",0.35,-0.0441382662517535,0.0224680955490942,-0.0379446009304248,-0.0600048625073391,-0.028720591836522,0.0312842706708171,-0.106931268513565,-0.0948186226513167,0.0182058141697036,-0.0104153555232376
"55","ATTW","conifer",0.45,-0.0260127253146493,0.0300660596997288,-0.022519765396169,-0.0439476459786081,-0.00976387519186527,0.0341837707867428,-0.0952233021587223,-0.10362048819827,0.041511780988249,0.020606852036268
"56","ATTW","conifer",0.55,0.0568706547948025,0.043607319253832,0.0659540277792257,0.0219471987062662,0.0862786732472611,0.0643314745409948,-0.074550013105226,-0.0504177309575042,0.182775885058753,0.122843707354458
"57","ATTW","conifer",0.65,0.118652787141967,0.0444457491275296,0.128942253551973,0.0919638532347173,0.156806779016158,0.0648429257814406,-0.00530053543744358,0.0140831981367961,0.254071167688319,0.18057120538468
"58","ATTW","conifer",0.75,0.15960805268705,0.0339052218442924,0.161183676021187,0.145171165122462,0.180025662954135,0.0348544978316728,0.0928894183749532,0.0869602558348886,0.232307409701644,0.248220880228242
"59","ATTW","conifer",0.85,0.189545268595158,0.0410574994866433,0.186384360929239,0.162539572147195,0.214386258776883,0.0518466866296882,0.0847695422026628,0.091449143801069,0.292156288721416,0.297673384845904
"60","ATTW","conifer",0.95,0.259821201119955,0.0616379954093564,0.245702941719031,0.21477559325189,0.313382303242262,0.0986067099903723,0.0668655282663314,0.129269700514508,0.461292368227821,0.39837643136147
"61","BAWW","mixedwood",0.05,-0.122087860449657,0.0131562470469215,-0.122737138714031,-0.128115219390114,-0.11184139765945,0.0162738217306634,-0.152525951986109,-0.145596072575555,-0.0874306650634552,-0.0982329158203898
"62","BAWW","mixedwood",0.15,-0.218422691969709,0.0176633775339898,-0.222183017065185,-0.230245728248488,-0.210088361598954,0.0201573666495346,-0.26048177822279,-0.245140932771643,-0.179852311624652,-0.17133499888993
"63","BAWW","mixedwood",0.25,-0.311699775007553,0.0199789021333267,-0.317170861047964,-0.326859433139963,-0.301600447111655,0.0252589860283076,-0.364747912182424,-0.338259739555989,-0.263711968069194,-0.258418933119859
"64","BAWW","mixedwood",0.35,-0.422813096042258,0.0209174339193571,-0.4273465882417,-0.43830512105723,-0.4045767538303,0.0337283672269304,-0.488897671897626,-0.459716395354213,-0.353984202989904,-0.375627243846021
