"","Habitat","Scenario","Mean","SD","Median","Q1","Q3","IQR","Minimum","MinimumOutlier","Maximum","MaximumOutlier"
"20","generalist",0.95,-0.619673384953109,0.949534038181951,-0.301734098778135,-0.881121167117071,-0.0531577371491184,0.827963429967953,-2.123066312069,-5.05027424694826,1.18878740780281,0.399105021013935
"21","deciduous",0.05,-0.0605862773733021,0.0697926133838232,-0.0686520343090306,-0.097393131383351,-0.0270406110042541,0.0703525203790968,-0.202921911951996,-0.217163523921811,0.0784881695643911,0.222264489073125
"22","deciduous",0.15,-0.111011346126499,0.102076789803522,-0.12180255718442,-0.182711744320179,-0.0545902458472028,0.128121498472976,-0.374893992029642,-0.321678240712761,0.137592001862261,0.251477407592875
"23","deciduous",0.25,-0.195447374604569,0.120231998005085,-0.207273158103786,-0.290217051065785,-0.133109016961274,0.157108034104511,-0.525879102222551,-0.409983422608992,0.102553034195493,0.254343102084201
"24","deciduous",0.35,-0.292269052504314,0.149106047142782,-0.315928632628977,-0.410619256765719,-0.225975142798213,0.184644113967506,-0.687585427716978,-0.521450721703118,0.0509910281530457,0.268509173188069
"25","deciduous",0.45,-0.393856247032825,0.179446274223399,-0.43096273699486,-0.542503338786688,-0.311255868164851,0.231247470621836,-0.889374544719442,-0.621147697349666,0.0356153377679033,0.273952866272165
"26","deciduous",0.55,-0.48405927987239,0.195508382247242,-0.51454843277172,-0.640829872100307,-0.395284369672781,0.245545502427526,-1.0091481257416,-0.742035717117135,-0.0269661160314921,0.238134421676375
"27","deciduous",0.65,-0.585567873986277,0.232315908069746,-0.617379179275151,-0.768295401422596,-0.47620590103472,0.292089500387876,-1.20642965200441,-0.922251309400189,-0.0380716504529066,0.250744290483783
"28","deciduous",0.75,-0.750445597274267,0.317335514544058,-0.781231670025923,-0.99628261934735,-0.574022024376013,0.422260594971337,-1.62967351180436,-1.24120986613807,0.0593688680809924,0.365620496568941
"29","deciduous",0.85,-1.00615858897955,0.461538014258986,-1.0408923854533,-1.35587458939864,-0.724198953126999,0.631675636271645,-2.30338804380611,-1.81120197888245,0.223314501280469,0.425810811570416
"30","deciduous",0.95,-1.50666637443433,0.836016323914988,-1.47059391774427,-2.08452564539176,-0.889094565847477,1.19543107954429,-3.8776722647082,-3.39910400728641,0.904052053468954,0.481712607031935
"31","conifer",0.05,-0.0323814373469567,0.0920021250170638,-0.0447183612441911,-0.0954161735598443,0.0295944320948629,0.125010605654707,-0.282932082041905,-0.257343175068133,0.217110340576924,0.258248728668941
"32","conifer",0.15,-0.0231813611214834,0.129016124766108,-0.0475034168462672,-0.12064122175674,0.0716304280060732,0.192271649762813,-0.409048696400959,-0.272974428539804,0.360037902650293,0.334879913007106
"33","conifer",0.25,-0.00828281568785951,0.154107550222336,-0.0523571182170677,-0.125256518314403,0.0971418410188866,0.222398359333289,-0.458854057314336,-0.268734922555443,0.43073938001882,0.40780301612576
"34","conifer",0.35,0.00988523918178686,0.212504483749418,-0.0483585982723436,-0.140513888420857,0.129769806755875,0.270283695176732,-0.545939431185954,-0.329103546818662,0.535195349520972,0.626718040169457
"35","conifer",0.45,0.0256521471139984,0.271017106521227,-0.0275321419677213,-0.162291936337838,0.157618230748616,0.319910167086455,-0.64215718696752,-0.425682133883507,0.637483481378298,0.837862195303522
"36","conifer",0.55,0.0541857439116217,0.272004451323303,0.0294366657994202,-0.133543103187755,0.185850042891103,0.319393146078857,-0.612632822306041,-0.492043577084744,0.664939762009389,0.881508854166414
"37","conifer",0.65,0.0740910493293048,0.282095057492318,0.0713742604438591,-0.0986866965729871,0.206919849088526,0.305606545661513,-0.557096515065257,-0.634153477904192,0.665329667580796,0.903859900916239
"38","conifer",0.75,0.102609521476292,0.328497768015345,0.0918394877001255,-0.0871450617260683,0.254905196264869,0.342050257990937,-0.600220448712474,-0.948694945642735,0.767980583251274,0.933526305096062
"39","conifer",0.85,0.119579307230868,0.38047914152342,0.110918227374862,-0.0888983256868267,0.290520221482184,0.379418547169011,-0.658026146440342,-1.48790743439054,0.8596480422357,0.983245708450236
"40","conifer",0.95,0.135992394983523,0.456477366691997,0.153125616577395,-0.0231334948670097,0.352169835214368,0.375303330081378,-0.586088489989076,-2.80605002525882,0.915124830336434,0.977303290229467
"41","mixedwood",0.05,-0.0902176774726761,0.0610034008239663,-0.0973491823900421,-0.122419530297007,-0.0559381641103043,0.0664813661867029,-0.222141579577062,-0.252996462558603,0.0437838851697501,0.0956787697860983
"42","mixedwood",0.15,-0.126128729886666,0.0911009247226788,-0.143201382955062,-0.19723110677499,-0.0727091133266558,0.124521993448334,-0.38401409694749,-0.285750407661956,0.114073876845845,0.167636437937795
"43","mixedwood",0.25,-0.183466411145336,0.0927998216568208,-0.204323456797456,-0.245763165497278,-0.125019480019574,0.120743685477704,-0.426878693713834,-0.342632479416435,0.0560960481969824,0.10853345284999
"44","mixedwood",0.35,-0.257639660137508,0.105729024387934,-0.270132139614704,-0.328515061786852,-0.18962626976859,0.138888792018262,-0.536848249814246,-0.459716395354213,0.0187069182588041,0.110948307266006
"45","mixedwood",0.45,-0.327286107543748,0.128119806098503,-0.338622425745579,-0.418651382708043,-0.240409536326315,0.178241846381728,-0.686014152280634,-0.602083095277171,0.0269532332462765,0.109527120269063
